"campus","sample_type","sample_subtype","classcode","orig_classcode","Kingdom","Phylum","Class","Order","Family","Genus","Species","species_definition","taxonomic_source","taxonomic_id","common_name","notes","size_cutoff","LOOKED1999","LOOKED2000","LOOKED2001","LOOKED2002","LOOKED2003","LOOKED2004","LOOKED2005","LOOKED2006","LOOKED2007","LOOKED2008","LOOKED2009","LOOKED2010","LOOKED2011","LOOKED2012","LOOKED2013","LOOKED2014","LOOKED2015","LOOKED2016","LOOKED2017","LOOKED2018","LOOKED2019","LOOKED2020","LOOKED2021"
"UCSB","SWATH","INVERT","ANTXAN","ANTXAN","Animalia","Cnidaria","Anthozoa","Actiniaria","Actiniidae","Anthopleura","xanthogrammica","Anthopleura xanthogrammica","WoRMS","283377","Giant Green Anemone","This species group was split in 2000 from Anthopleura spp.",">2.5cm, longest dimension","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","SWATH","INVERT","ANTXAN","ANTXAN","Animalia","Cnidaria","Anthozoa","Actiniaria","Actiniidae","Anthopleura","xanthogrammica","Anthopleura xanthogrammica","WoRMS","283377","Giant Green Anemone","This species group was split in 2000 from Anthopleura spp.",">2.5cm, longest dimension","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"VRG","SWATH","INVERT","ANTXAN","Anthopleura xanthogrammica","Animalia","Cnidaria","Anthozoa","Actiniaria","Actiniidae","Anthopleura","xanthogrammica","Anthopleura xanthogrammica","WoRMS","283377","Giant Green Anemone",NA,">2.5cm, longest dimension","no","no","no","no","no","yes","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"VRG","SWATH","INVERT","APAPRI","Flabellina pricei","Animalia","Mollusca","Gastropoda","Nudibranchia","Flabellinidae","Flabellina","pricei","Apata pricei","WoRMS","1047455","Nudibranch",NA,">2.5cm, longest dimension","no","no","no","no","no","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"HSU","SWATH","INVERT","APLCAL","APLCAL","Animalia","Mollusca","Gastropoda","Aplysiida","Aplysiidae","Aplysia","californica","Aplysia californica","WoRMS","240765","California Brown Sea Hare",NA,">2.5cm, longest dimension","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","yes","yes","yes","yes","yes"
"UCSB","SWATH","INVERT","APLCAL","APLCAL","Animalia","Mollusca","Gastropoda","Aplysiida","Aplysiidae","Aplysia","californica","Aplysia californica","WoRMS","240765","California Brown Sea Hare",NA,">2.5cm, longest dimension","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","SWATH","INVERT","APLCAL","APLCAL","Animalia","Mollusca","Gastropoda","Aplysiida","Aplysiidae","Aplysia","californica","Aplysia californica","WoRMS","240765","California Brown Sea Hare",NA,">2.5cm, longest dimension","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"VRG","SWATH","INVERT","APLCAL","Aplysia californica","Animalia","Mollusca","Gastropoda","Aplysiida","Aplysiidae","Aplysia","californica","Aplysia californica","WoRMS","240765","California Brown Sea Hare",NA,">2.5cm, longest dimension","no","no","no","no","no","yes","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","SWATH","INVERT","APLVAC","APLVAC","Animalia","Mollusca","Gastropoda","Aplysiida","Aplysiidae","Aplysia","vaccaria","Aplysia vaccaria","WoRMS","568031","Black Sea Hare",NA,">2.5cm, longest dimension","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","SWATH","INVERT","APLVAC","APLVAC","Animalia","Mollusca","Gastropoda","Aplysiida","Aplysiidae","Aplysia","vaccaria","Aplysia vaccaria","WoRMS","568031","Black Sea Hare",NA,">2.5cm, longest dimension","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes"
