"campus","sample_type","sample_subtype","classcode","orig_classcode","Kingdom","Phylum","Class","Order","Family","Genus","Species","species_definition","taxonomic_source","taxonomic_id","common_name","notes","size_cutoff","LOOKED1999","LOOKED2000","LOOKED2001","LOOKED2002","LOOKED2003","LOOKED2004","LOOKED2005","LOOKED2006","LOOKED2007","LOOKED2008","LOOKED2009","LOOKED2010","LOOKED2011","LOOKED2012","LOOKED2013","LOOKED2014","LOOKED2015","LOOKED2016","LOOKED2017","LOOKED2018","LOOKED2019","LOOKED2020","LOOKED2021"
"HSU","FISH","FISH","AARG","AARG","Animalia","Chordata","Actinopterygii","Perciformes","Embiotocidae","Amphistichus","argenteus","Amphistichus argenteus","WoRMS","279594","Barred Surfperch",NA,NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","AARG","AARG","Animalia","Chordata","Actinopterygii","Perciformes","Embiotocidae","Amphistichus","argenteus","Amphistichus argenteus","WoRMS","279594","Barred Surfperch",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"VRG","FISH","FISH","AARG","Amphistichus argenteus","Animalia","Chordata","Actinopterygii","Perciformes","Embiotocidae","Amphistichus","argenteus","Amphistichus argenteus","WoRMS","279594","Barred Surfperch",NA,NA,"no","no","no","no","no","yes","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"HSU","FISH","FISH","ACOR","ACOR","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","Artedius","corallinus","Artedius corallinus","WoRMS","279699","Coralline Sculpin","Cryptic, not sampled effectiively",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"UCSB","FISH","FISH","ACOR","ACOR","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","Artedius","corallinus","Artedius corallinus","WoRMS","279699","Coralline Sculpin","Cryptic, not sampled effectiively",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"UCSC","FISH","FISH","ACOR","ACOR","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","Artedius","corallinus","Artedius corallinus","WoRMS","279699","Coralline Sculpin","Cryptic, not sampled effectiively",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"VRG","FISH","FISH","ACOR","Artedius corallinus","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","Artedius","corallinus","Artedius corallinus","WoRMS","279699","Coralline Sculpin","Cryptic, not sampled effectiively",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"HSU","FISH","FISH","ADAV","ADAV","Animalia","Chordata","Actinopterygii","Perciformes","Haemulidae","Anisotremus","davidsonii","Anisotremus davidsonii","WoRMS","279617","Sargo",NA,NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","ADAV","ADAV","Animalia","Chordata","Actinopterygii","Perciformes","Haemulidae","Anisotremus","davidsonii","Anisotremus davidsonii","WoRMS","279617","Sargo",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","ADAV","ADAV","Animalia","Chordata","Actinopterygii","Perciformes","Haemulidae","Anisotremus","davidsonii","Anisotremus davidsonii","WoRMS","279617","Sargo",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"VRG","FISH","FISH","ADAV","Anisotremus davidsonii","Animalia","Chordata","Actinopterygii","Perciformes","Haemulidae","Anisotremus","davidsonii","Anisotremus davidsonii","WoRMS","279617","Sargo",NA,NA,"no","no","no","no","no","yes","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"HSU","FISH","FISH","AFLA","AFLA","Animalia","Chordata","Actinopterygii","Gasterosteiformes","Aulorhynchidae","Aulorhynchus","flavidus","Aulorhynchus flavidus","WoRMS","279839","Tubesnout",NA,NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","AFLA","AFLA","Animalia","Chordata","Actinopterygii","Gasterosteiformes","Aulorhynchidae","Aulorhynchus","flavidus","Aulorhynchus flavidus","WoRMS","279839","Tubesnout",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","AFLA","AFLA","Animalia","Chordata","Actinopterygii","Gasterosteiformes","Aulorhynchidae","Aulorhynchus","flavidus","Aulorhynchus flavidus","WoRMS","279839","Tubesnout",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"VRG","FISH","FISH","AFLA","Aulorhynchus flavidus","Animalia","Chordata","Actinopterygii","Gasterosteiformes","Aulorhynchidae","Aulorhynchus","flavidus","Aulorhynchus flavidus","WoRMS","279839","Tubesnout",NA,NA,"no","no","no","no","no","yes","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","AGUA","AGUA","Animalia","Chordata","Actinopterygii","Perciformes","Apogonidae","Apogon","guadalupensis","Apogon guadalupensis","WoRMS","273016","Guadalupe Cardinalfish",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"VRG","FISH","FISH","AGUA","Apogon guadalupensis","Animalia","Chordata","Actinopterygii","Perciformes","Apogonidae","Apogon","guadalupensis","Apogon guadalupensis","WoRMS","273016","Guadalupe Cardinalfish",NA,NA,"no","no","no","no","no","yes","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"HSU","FISH","FISH","AHAR","AHAR","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","Artedius","harringtoni","Artedius harringtoni","WoRMS","279701","Scaleyhead Sculpin","Cryptic, not sampled effectiively",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"UCSC","FISH","FISH","AHEX","AHEX","Animalia","Chordata","Actinopterygii","Perciformes","Ammodytidae","Ammodytes","hexapterus","Ammodytes hexapterus","WoRMS","254510","Sandlance","AS OF 2020, ONLY ONE OBSERVATION FROM 2001",NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"HSU","FISH","FISH","AHOL","AHOL","Animalia","Chordata","Actinopterygii","Perciformes","Labrisomidae","Alloclinus","holderi","Alloclinus holderi","WoRMS","279560","Island Kelpfish","Cryptic, not sampled effectiively",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"UCSB","FISH","FISH","AHOL","AHOL","Animalia","Chordata","Actinopterygii","Perciformes","Labrisomidae","Alloclinus","holderi","Alloclinus holderi","WoRMS","279560","Island Kelpfish","Cryptic, not sampled effectiively",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"UCSC","FISH","FISH","AHOL","AHOL","Animalia","Chordata","Actinopterygii","Perciformes","Labrisomidae","Alloclinus","holderi","Alloclinus holderi","WoRMS","279560","Island Kelpfish","Cryptic, not sampled effectiively",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"VRG","FISH","FISH","AHOL","Alloclinus holderi","Animalia","Chordata","Actinopterygii","Perciformes","Labrisomidae","Alloclinus","holderi","Alloclinus holderi","WoRMS","279560","Island Kelpfish","Cryptic, not sampled effectiively",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"HSU","FISH","FISH","AINE","AINE","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Agonidae","Anoplagonus","inermis","Anoplagonus inermis","WoRMS","279630","Smooth Alligatorfish",NA,NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","AINE","AINE","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Agonidae","Anoplagonus","inermis","Anoplagonus inermis","WoRMS","279630","Smooth Alligatorfish",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"HSU","FISH","FISH","ANOB","ANOB","Animalia","Chordata","Actinopterygii","Perciformes","Sciaenidae","Atractoscion","nobilis","Atractoscion nobilis","WoRMS","278535","White Seabass",NA,NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","ANOB","ANOB","Animalia","Chordata","Actinopterygii","Perciformes","Sciaenidae","Atractoscion","nobilis","Atractoscion nobilis","WoRMS","278535","White Seabass",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"VRG","FISH","FISH","ANOB","Atractoscion nobilis","Animalia","Chordata","Actinopterygii","Perciformes","Sciaenidae","Atractoscion","nobilis","Atractoscion nobilis","WoRMS","278535","White Seabass",NA,NA,"no","no","no","no","no","yes","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"HSU","FISH","FISH","AOCE","AOCE","Animalia","Chordata","Actinopterygii","Perciformes","Anarhichadidae","Anarrhichthys","ocellatus","Anarrhichthys ocellatus","WoRMS","279605","Wolf Eel",NA,NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","AOCE","AOCE","Animalia","Chordata","Actinopterygii","Perciformes","Anarhichadidae","Anarrhichthys","ocellatus","Anarrhichthys ocellatus","WoRMS","279605","Wolf Eel",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","AOCE","AOCE","Animalia","Chordata","Actinopterygii","Perciformes","Anarhichadidae","Anarrhichthys","ocellatus","Anarrhichthys ocellatus","WoRMS","279605","Wolf Eel",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","APFL","APFL","Animalia","Chordata","Actinopterygii","Perciformes","Pholidae","Apodichthys","flavidus","Apodichthys flavidus","WoRMS","279664","Penpiont Gunnel",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"HSU","FISH","FISH","ATHE","ATHE","Animalia","Chordata","Actinopterygii","Atheriniformes","Atherinopsidae","Atherinopsidae","spp","Atherinopsidae","WoRMS","266995","Grunion, Topsmelt Or Jacksmelt","Includes Atherinops affinis, A. californiensis",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","ATHE","AAFF","Animalia","Chordata","Actinopterygii","Atheriniformes","Atherinopsidae","Atherinopsidae","spp","Atherinopsidae","WoRMS","266995","Grunion, Topsmelt Or Jacksmelt","Combined with Atherinopsis californiensis due to visual similarity.",NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","ATHE","AAFF","Animalia","Chordata","Actinopterygii","Atheriniformes","Atherinopsidae","Atherinopsidae","spp","Atherinopsidae","WoRMS","266995","Grunion, Topsmelt Or Jacksmelt","Combined with Atherinopsis californiensis due to visual similarity.",NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"VRG","FISH","FISH","ATHE","Atherinops affinis","Animalia","Chordata","Actinopterygii","Atheriniformes","Atherinopsidae","Atherinopsidae","spp","Atherinopsidae","WoRMS","266995","Grunion, Topsmelt Or Jacksmelt",NA,NA,"no","no","no","no","no","yes","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"HSU","FISH","FISH","AVUL","AVUL","Animalia","Chordata","Elasmobranchii","Lamniformes","Alopiidae","Alopias","vulpinus","Alopias vulpinus","WoRMS","105836","Thresher Shark",NA,NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","AVUL","AVUL","Animalia","Chordata","Elasmobranchii","Lamniformes","Alopiidae","Alopias","vulpinus","Alopias vulpinus","WoRMS","105836","Thresher Shark",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","AVUL","AVUL","Animalia","Chordata","Elasmobranchii","Lamniformes","Alopiidae","Alopias","vulpinus","Alopias vulpinus","WoRMS","105836","Thresher Shark",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"HSU","FISH","FISH","BAITBALL","BAITBALL","Animalia","Chordata","Actinopterygii","Clupeiformes",NA,NA,NA,"Clupeiformes","WoRMS","10297","Bait, Sardines/Anchovies","Several families and species represented.",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","BAITBALL","BAIT","Animalia","Chordata","Actinopterygii","Clupeiformes",NA,NA,NA,"Clupeiformes","WoRMS","10297","Bait, Sardines/Anchovies","Several families and species represented.",NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","BAITBALL","BAITBALL","Animalia","Chordata","Actinopterygii","Clupeiformes",NA,NA,NA,"Clupeiformes","WoRMS","10297","Bait, Sardines/Anchovies","Several families and species represented.",NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"HSU","FISH","FISH","BATH","BATH","Animalia","Chordata","Actinopterygii","Perciformes","Bathymasteridae","Bathymasteridae","spp","Bathymasteridae","WoRMS","151388","Ronquils","Ronquils, unid sp., possibly Rathbunella hypoplecta",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","BATH","BATH","Animalia","Chordata","Actinopterygii","Perciformes","Bathymasteridae","Bathymasteridae","spp","Bathymasteridae","WoRMS","151388","Ronquils",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","BATH","BATH","Animalia","Chordata","Actinopterygii","Perciformes","Bathymasteridae","Bathymasteridae","spp","Bathymasteridae","WoRMS","151388","Ronquils",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"HSU","FISH","FISH","BFRE","BFRE","Animalia","Chordata","Actinopterygii","Perciformes","Embiotocidae","Brachyistius","frenatus","Brachyistius frenatus","WoRMS","240721","Kelp Surfperch",NA,NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","BFRE","BFRE","Animalia","Chordata","Actinopterygii","Perciformes","Embiotocidae","Brachyistius","frenatus","Brachyistius frenatus","WoRMS","240721","Kelp Surfperch",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","BFRE","BEFR","Animalia","Chordata","Actinopterygii","Perciformes","Embiotocidae","Brachyistius","frenatus","Brachyistius frenatus","WoRMS","240721","Kelp Surfperch",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"VRG","FISH","FISH","BFRE","Brachyistius frenatus","Animalia","Chordata","Actinopterygii","Perciformes","Embiotocidae","Brachyistius","frenatus","Brachyistius frenatus","WoRMS","240721","Kelp Surfperch",NA,NA,"no","no","no","no","no","yes","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","BLEN","BLEN","Animalia","Chordata","Actinopterygii","Perciformes","Blenniidae","Blenniidae","spp","Blenniidae","WoRMS","125519","Blennies","Cryptic, not sampled effectiively",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"UCSC","FISH","FISH","BLEN","BLEN","Animalia","Chordata","Actinopterygii","Perciformes","Blenniidae","Blenniidae","spp","Blenniidae","WoRMS","125519","Blennies","Cryptic, not sampled effectiively",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"HSU","FISH","FISH","BOTH","BOTH","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Bothidae","Bothidae","spp","Bothidae","WoRMS","125576","Lefteyed Flounders",NA,NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","BOTH","BOTH","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Bothidae","Bothidae","spp","Bothidae","WoRMS","125576","Lefteyed Flounders",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","BOTH","BOTH","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Bothidae","Bothidae","spp","Bothidae","WoRMS","125576","Lefteyed Flounders",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"HSU","FISH","FISH","BPOL","BPOL","Animalia","Chordata","Actinopterygii","Tetraodontiformes","Balistidae","Balistes","polylepis","Balistes polylepis","WoRMS","275234","Finescale Triggerfish",NA,NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","BPOL","BPOL","Animalia","Chordata","Actinopterygii","Tetraodontiformes","Balistidae","Balistes","polylepis","Balistes polylepis","WoRMS","275234","Finescale Triggerfish",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","BPOL","BPOL","Animalia","Chordata","Actinopterygii","Tetraodontiformes","Balistidae","Balistes","polylepis","Balistes polylepis","WoRMS","275234","Finescale Triggerfish",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"HSU","FISH","FISH","BRAY","BRAY","Animalia","Chordata","Elasmobranchii","Myliobatiformes","Myliobatidae","Myliobatis","californica","Myliobatis californica","WoRMS","271485","Bat Ray","Sized in span of pectoral fins ('wingspan'), instead of total length.",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","BRAY","BRAY","Animalia","Chordata","Elasmobranchii","Myliobatiformes","Myliobatidae","Myliobatis","californica","Myliobatis californica","WoRMS","271485","Bat Ray","Sized in span of pectoral fins ('wingspan'), instead of total length.",NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","BRAY","BRAY","Animalia","Chordata","Elasmobranchii","Myliobatiformes","Myliobatidae","Myliobatis","californica","Myliobatis californica","WoRMS","271485","Bat Ray","Sized in span of pectoral fins ('wingspan'), instead of total length.",NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"VRG","FISH","FISH","BRAY","Myliobatis californica","Animalia","Chordata","Elasmobranchii","Myliobatiformes","Myliobatidae","Myliobatis","californica","Myliobatis californica","WoRMS","271485","Bat Ray","Sized in span of pectoral fins ('wingspan'), instead of total length",NA,"no","no","no","no","no","yes","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"HSU","FISH","FISH","CAGG","CAGG","Animalia","Chordata","Actinopterygii","Perciformes","Embiotocidae","Cymatogaster","aggregata","Cymatogaster aggregata","WoRMS","280461","Shiner Surfperch",NA,NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","CAGG","CAGG","Animalia","Chordata","Actinopterygii","Perciformes","Embiotocidae","Cymatogaster","aggregata","Cymatogaster aggregata","WoRMS","280461","Shiner Surfperch",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","CAGG","CAGG","Animalia","Chordata","Actinopterygii","Perciformes","Embiotocidae","Cymatogaster","aggregata","Cymatogaster aggregata","WoRMS","280461","Shiner Surfperch",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"VRG","FISH","FISH","CAGG","Cymatogaster aggregata","Animalia","Chordata","Actinopterygii","Perciformes","Embiotocidae","Cymatogaster","aggregata","Cymatogaster aggregata","WoRMS","280461","Shiner Surfperch",NA,NA,"no","no","no","no","no","yes","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","CANA","CANA","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","Clinocottus","analis","Clinocottus analis","WoRMS","280219","Wooly Sculpin","Cryptic, not sampled effectiively",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"UCSC","FISH","FISH","CGIG","CGIG","Animalia","Chordata","Actinopterygii","Perciformes","Cryptacanthodidae","Cryptacanthodes","giganteus","Cryptacanthodes giganteus","WoRMS","276392","Giant Wrymouth","First observed/added in 2018",NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"HSU","FISH","FISH","CITH","CITH","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Paralichthyidae","Citharichthys","spp","Citharichthys","WoRMS","158786","Sanddabs",NA,NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","CITH","CITH","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Paralichthyidae","Citharichthys","spp","Citharichthys","WoRMS","158786","Sanddabs",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","CITH","CITH","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Paralichthyidae","Citharichthys","spp","Citharichthys","WoRMS","158786","Sanddabs",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","CLIN","CLIN","Animalia","Chordata","Actinopterygii","Perciformes","Clinidae","Clinidae","spp","Clinidae","WoRMS","125530","Kelpfishes And Fringeheads","Most species cryptic, not sampled effectively.",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"UCSC","FISH","FISH","CLIN","CLIN","Animalia","Chordata","Actinopterygii","Perciformes","Clinidae","Clinidae","spp","Clinidae","WoRMS","125530","Kelpfishes And Fringeheads","Most species cryptic, not sampled effectively.",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"HSU","FISH","FISH","CLUP","CLUP","Animalia","Chordata","Actinopterygii","Clupeiformes",NA,NA,NA,"Clupeiformes","WoRMS","10297","Sardines And Anchovies",NA,NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","CLUP","CLUP","Animalia","Chordata","Actinopterygii","Clupeiformes",NA,NA,NA,"Clupeiformes","WoRMS","10297","Sardines And Anchovies",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","CLUP","CLUP","Animalia","Chordata","Actinopterygii","Clupeiformes",NA,NA,NA,"Clupeiformes","WoRMS","10297","Sardines And Anchovies",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"HSU","FISH","FISH","CNUG","CNUG","Animalia","Chordata","Actinopterygii","Perciformes","Stichaeidae","Chirolophis","nugator","Chirolophis nugator","WoRMS","254577","Mosshead Warbonnet","Cryptic, not sampled effectiively",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"UCSB","FISH","FISH","CNUG","CNUG","Animalia","Chordata","Actinopterygii","Perciformes","Stichaeidae","Chirolophis","nugator","Chirolophis nugator","WoRMS","254577","Mosshead Warbonnet","Cryptic, not sampled effectiively",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"UCSC","FISH","FISH","CNUG","CNUG","Animalia","Chordata","Actinopterygii","Perciformes","Stichaeidae","Chirolophis","nugator","Chirolophis nugator","WoRMS","254577","Mosshead Warbonnet","Cryptic, not sampled effectiively",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"VRG","FISH","FISH","COBS","Carcharhinus obscurus","Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus","obscurus","Carcharhinus obscurus","WoRMS","105796","Dusky shark",NA,NA,"no","no","no","no","no","yes","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"HSU","FISH","FISH","COTT","COTT","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","Cottidae","spp","Cottidae","WoRMS","125589","Sculpins","Most species cryptic, not sampled effectively.",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
